time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-19T18:14:31.090Z,-5.6846,154.3529,122.79,4.9,mb,,28,6.683,0.6,us,us10008tlq,2017-05-19T18:34:47.040Z,"143km WNW of Arawa, Papua New Guinea",earthquake,10.1,7.4,0.049,130,reviewed,us,us
2017-05-19T17:57:54.140Z,-9.8427,159.1539,69.46,4.6,mb,,86,0.879,1.15,us,us10008tlh,2017-05-19T18:14:38.040Z,"98km WSW of Honiara, Solomon Islands",earthquake,11,9.7,0.084,42,reviewed,us,us
2017-05-19T17:57:29.050Z,-15.6789,-173.0324,62.23,4.6,mb,,114,2.137,0.57,us,us10008tlj,2017-05-19T18:30:08.040Z,"82km ENE of Hihifo, Tonga",earthquake,5,8.6,0.052,110,reviewed,us,us
2017-05-19T16:56:39.690Z,60.1275,-152.1778,68.5,2.5,ml,,,,0.62,ak,ak16071334,2017-05-19T17:11:53.051Z,"43km NNW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-05-19T16:49:42.300Z,-9.2543,158.8821,31.64,4.8,mb,,79,1.067,1.04,us,us10008tkx,2017-05-19T17:11:45.040Z,"118km W of Honiara, Solomon Islands",earthquake,10.9,4,0.098,32,reviewed,us,us
2017-05-19T15:29:26.910Z,18.3083,-68.8618,107,3.79,md,19,215,0.5225,0.47,pr,pr2017139008,2017-05-19T16:36:44.790Z,"17km SE of La Romana, Dominican Republic",earthquake,5,1.97,0.33,16,reviewed,pr,pr
2017-05-19T14:31:34.730Z,-9.2971,158.8992,19,4.9,mb,,75,1.044,1.36,us,us10008tjx,2017-05-19T14:52:05.040Z,"116km W of Honiara, Solomon Islands",earthquake,10.3,5.1,0.089,40,reviewed,us,us
2017-05-19T12:09:15.580Z,47.695,-127.9545,10,4.1,mb,,177,2.071,0.72,us,us10008tjc,2017-05-19T13:19:39.040Z,"222km SW of Tofino, Canada",earthquake,6.6,2,0.077,46,reviewed,us,us
2017-05-19T11:44:04.970Z,-1.1281,126.9126,38.46,4.9,mb,,82,1.941,0.81,us,us10008tjb,2017-05-19T12:05:35.040Z,"87km WNW of Laiwui, Indonesia",earthquake,7.6,7.8,0.06,87,reviewed,us,us
2017-05-19T11:17:16.700Z,-9.2366,158.7967,10,5.2,mb,,43,1.153,0.88,us,us10008tj9,2017-05-19T11:37:23.215Z,"128km W of Honiara, Solomon Islands",earthquake,9,1.9,0.04,204,reviewed,us,us
